00:04:08,Sanko Electronics Co. Ltd. 
98:35:b8,Assembled Products Corporation 
c8:c1:26,ZPM Industria e Comercio Ltda 
2c:60:0c,QUANTA COMPUTER INC. 
10:4f:a8,Sony Corporation 
0c:77:1a,Apple Inc. 
00:08:01,HighSpeed Surfing Inc. 
dc:1d:9f,U & B tech 
00:a0:05,DANIEL INSTRUMENTS LTD. 
00:12:fa,THX LTD 
10:c6:7e,SHENZHEN JUCHIN TECHNOLOGY CO. LTD 
a8:39:44,Actiontec Electronics Inc 
00:09:56,Network Systems Group Ltd. (NSG) 
2c:40:53,Samsung Electronics Co.Ltd 
00:22:bc,JDSU France SAS 
00:cf:1c,Communication Machinery Corporation 
4c:bd:8f,Hangzhou Hikvision Digital Technology Co.Ltd. 
00:0c:f4,AKATSUKI ELECTRIC MFG.CO.LTD. 
00:80:ed,IQ TECHNOLOGIES INC. 
94:51:3d,iSmart Alarm Inc. 
00:f4:b9,Apple Inc. 
00:00:97,Dell EMC 
00:0e:36,HEINESYS Inc. 
00:90:03,APLIO 
00:1e:15,Beech Hill Electronics 
a0:c4:a5,SYGN HOUSE CO.LTD 
00:60:30,VILLAGE TRONIC ENTWICKLUNG 
00:20:bb,ZAX CORPORATION 
88:96:f2,Valeo Schalter und Sensoren GmbH 
00:a0:84,Dataplex Pty Ltd 
00:25:72,Nemo-Q International AB 
00:0e:38,Cisco Systems Inc 
9c:df:03,Harman/Becker Automotive Systems GmbH 
00:90:0e,HANDLINK TECHNOLOGIES INC. 
00:e0:a2,MICROSLATE INC. 
e0:87:b1,Nata-Info Ltd. 
98:fd:b4,Primax Electronics Ltd. 
00:14:4d,Intelligent Systems 
00:d7:8f,Cisco Systems Inc 
00:19:a1,LG INFORMATION & COMM. 
ec:49:93,Qihan Technology Co. Ltd 
00:30:0d,MMC Technology Inc. 
14:ee:9d,AirNav Systems LLC 
58:50:e6,Best Buy Corporation 
08:f6:f8,GET Engineering 
00:25:f4,KoCo Connector AG 
5c:f7:e6,Apple Inc. 
fc:22:9c,Han Kyung I Net Co.Ltd. 
68:ca:00,Octopus Systems Limited 
6c:38:a1,Ubee Interactive Co. Limited 
00:0f:7a,BeiJing NuQX Technology CO.LTD 
00:d0:eb,LIGHTERA NETWORKS INC. 
00:d0:d4,V-BITS INC. 
00:17:35,Intel Wireless Network Group 
b4:52:7e,Sony Mobile Communications AB 
50:20:6b,Emerson Climate Technologies Transportation Solutions 
70:0f:c7,SHENZHEN IKINLOOP TECHNOLOGY CO.LTD. 
a0:99:9b,Apple Inc. 
00:16:c7,Cisco Systems Inc 
78:9c:e7,Shenzhen Aikede Technology Co. Ltd 
70:30:5e,Nanjing Zhongke Menglian Information Technology Co.LTD 
b4:61:ff,Lumigon A/S 
50:93:4f,Gradual Tecnologia Ltda. 
00:22:b3,Sei S.p.A. 
54:14:73,Wingtech Group (HongKong）Limited 
00:21:40,EN Technologies Inc. 
00:14:6e,H. Stoll GmbH & Co. KG 
00:0c:1a,Quest Technical Solutions Inc. 
00:1b:da,UTStarcom Inc 
00:19:ce,Progressive Gaming International 
00:25:d9,DataFab Systems Inc. 
98:fa:e3,Xiaomi Communications Co Ltd 
00:40:b8,IDEA ASSOCIATES 
a4:e9:75,Apple Inc. 
00:0a:6f,ZyFLEX Technologies Inc 
78:53:f2,ROXTON Ltd. 
d0:4c:c1,SINTRONES Technology Corp. 
